iter	Passed	Remaining
626	7672	4564
627	7684	4551
628	7696	4539
629	7707	4526
630	7719	4514
631	7731	4501
632	7741	4488
633	7753	4476
634	7766	4464
635	7778	4452
636	7790	4439
637	7802	4427
638	7815	4415
639	7828	4403
640	7842	4392
641	7853	4379
642	7866	4367
643	7880	4356
644	7892	4344
645	7904	4331
646	7916	4319
647	7929	4307
648	7941	4295
649	7952	4281
650	7964	4269
651	7977	4257
652	7989	4245
653	8000	4232
654	8012	4220
655	8026	4209
656	8039	4197
657	8051	4184
658	8063	4172
659	8076	4160
660	8089	4148
661	8100	4135
662	8111	4122
663	8123	4110
664	8135	4098
665	8145	4085
666	8158	4073
667	8170	4060
668	8183	4048
669	8195	4036
670	8208	4024
671	8221	4013
672	8233	4000
673	8244	3987
674	8256	3975
675	8267	3962
676	8279	3950
677	8290	3937
678	8302	3925
679	8314	3912
680	8325	3899
681	8337	3887
682	8349	3875
683	8362	3863
684	8373	3850
685	8385	3838
686	8398	3826
687	8410	3814
688	8422	3801
689	8434	3789
690	8447	3777
691	8460	3765
692	8471	3753
693	8484	3740
694	8496	3728
695	8509	3716
696	8519	3703
697	8532	3691
698	8544	3679
699	8554	3666
700	8565	3653
701	8576	3640
702	8588	3628
703	8597	3615
704	8611	3603
705	8624	3591
706	8635	3578
707	8644	3565
708	8654	3552
709	8663	3538
710	8673	3525
711	8683	3512
712	8691	3498
713	8701	3485
714	8710	3472
715	8720	3459
716	8729	3445
717	8739	3432
718	8748	3418
719	8757	3405
720	8766	3392
721	8775	3378
722	8784	3365
723	8794	3352
724	8804	3339
725	8814	3326
726	8824	3313
727	8834	3300
728	8843	3287
729	8854	3274
730	8863	3261
731	8872	3248
732	8881	3235
733	8890	3221
734	8900	3208
735	8908	3195
736	8917	3182
737	8926	3169
738	8936	3156
739	8947	3143
740	8957	3130
741	8967	3118
742	8977	3105
743	8987	3092
744	8999	3080
745	9009	3067
746	9018	3054
747	9027	3041
748	9036	3028
749	9047	3015
750	9055	3002
751	9065	2989
752	9077	2977
753	9086	2964
754	9096	2951
755	9106	2939
756	9115	2926
757	9126	2913
758	9135	2900
759	9145	2887
760	9154	2875
761	9164	2862
762	9177	2850
763	9188	2838
764	9203	2827
765	9215	2815
766	9228	2803
767	9240	2791
768	9252	2779
769	9262	2766
770	9274	2754
771	9284	2742
772	9295	2729
773	9306	2717
774	9317	2704
775	9328	2692
776	9338	2680
777	9349	2667
778	9360	2655
779	9372	2643
780	9383	2631
781	9395	2619
782	9406	2606
783	9418	2594
784	9427	2582
785	9439	2570
786	9449	2557
787	9458	2544
788	9468	2532
789	9478	2519
790	9489	2507
791	9498	2494
792	9507	2481
793	9517	2469
794	9526	2456
795	9536	2443
796	9546	2431
797	9556	2418
798	9566	2406
799	9576	2394
800	9586	2381
801	9598	2369
802	9607	2357
803	9617	2344
804	9629	2332
805	9639	2320
806	9650	2308
807	9661	2295
808	9671	2283
809	9682	2271
810	9692	2258
811	9702	2246
812	9713	2234
813	9726	2222
814	9736	2210
815	9749	2198
816	9763	2186
817	9776	2175
818	9786	2162
819	9797	2150
820	9810	2138
821	9822	2126
822	9831	2114
823	9844	2102
824	9855	2090
825	9865	2078
826	9875	2065
827	9885	2053
828	9894	2041
829	9905	2028
830	9915	2016
831	9926	2004
832	9936	1992
833	9947	1979
834	9958	1967
835	9969	1955
836	9979	1943
837	9989	1931
838	9999	1918
839	10009	1906
840	10020	1894
841	10031	1882
842	10042	1870
843	10053	1858
844	10062	1845
845	10073	1833
846	10084	1821
847	10093	1809
848	10103	1796
849	10113	1784
850	10123	1772
851	10135	1760
852	10146	1748
853	10157	1736
854	10169	1724
855	10181	1712
856	10195	1701
857	10207	1689
858	10221	1677
859	10235	1666
860	10247	1654
861	10258	1642
862	10269	1630
863	10282	1618
864	10296	1607
865	10310	1595
866	10322	1583
867	10335	1571
868	10349	1560
869	10362	1548
870	10376	1536
871	10385	1524
872	10400	1512
873	10413	1501
874	10425	1489
875	10435	1477
876	10449	1465
877	10461	1453
878	10475	1441
879	10485	1429
880	10497	1417
881	10509	1406
882	10522	1394
883	10532	1382
884	10559	1372
885	10580	1361
886	10602	1350
887	10622	1339
888	10641	1328
889	10662	1317
890	10682	1306
891	10702	1295
892	10724	1285
893	10747	1274
894	10769	1263
895	10790	1252
896	10811	1241
897	10829	1230
898	10850	1218
899	10874	1208
900	10897	1197
901	10928	1187
902	10968	1178
903	10983	1166
904	10996	1154
905	11008	1142
906	11019	1129
907	11033	1117
908	11043	1105
909	11053	1093
910	11065	1081
911	11076	1068
912	11085	1056
913	11097	1044
914	11107	1031
915	11116	1019
916	11127	1007
917	11137	994
918	11148	982
919	11159	970
920	11171	958
921	11181	945
922	11191	933
923	11204	921
924	11214	909
925	11227	897
926	11237	884
927	11246	872
928	11256	860
929	11266	848
930	11276	835
931	11286	823
932	11295	811
933	11305	798
934	11317	786
935	11328	774
936	11339	762
937	11349	750
938	11359	737
939	11370	725
940	11383	713
941	11394	701
942	11407	689
943	11417	677
944	11428	665
945	11439	652
946	11450	640
947	11459	628
948	11470	616
949	11480	604
950	11490	592
951	11501	579
952	11511	567
953	11522	555
954	11534	543
955	11545	531
956	11554	519
957	11565	507
958	11574	494
959	11585	482
960	11596	470
961	11606	458
962	11628	446
963	11653	435
964	11678	423
965	11704	411
966	11732	400
967	11760	388
968	11780	376
969	11797	364
970	11816	352
